name,code
Bhutan,BR
Saint Martin,WS
French Polynesia,BN
Iraq,BG
Egypt,GA
Mayotte,AF
Guinea-Bissau,CF
Egypt,NG
South Georgia and the South Sandwich Islands,PY
Bosnia and Herzegovina,DM
Norfolk Island,VE
Bolivia,ST
Norfolk Island,AM
Philippines,MY
Tajikistan,DK
Norfolk Island,NG
Thailand,SY
Djibouti,PS
Latvia,TW
China,LU
Bahamas,MG
Syrian Arab Republic,DJ
French Southern Territories,LK
Bermuda,UA
Nepal,LU
United States Virgin Islands,PT
Timor-Leste,UA
Wallis and Futuna,ER
Solomon Islands,RU
Swaziland,CD
Swaziland,NI
Saint Helena,PE
French Polynesia,BF
Liechtenstein,TO
United Arab Emirates,MR
Bahrain,PS
Ghana,JM
Suriname,ER
Papua New Guinea,LA
Kyrgyz Republic,TT
Saint Pierre and Miquelon,IQ
Chad,BA
Mali,UA
French Polynesia,NR
Moldova,VC
Heard Island and McDonald Islands,EC
Qatar,KP
United Kingdom,AE
United States Virgin Islands,GY
Lesotho,IN
Saint Helena,BZ
Bulgaria,RU
Aruba,TL
Saudi Arabia,PH
Vanuatu,PG
Cambodia,AF
Palestinian Territory,MY
Marshall Islands,CM
Saint Martin,GR
Austria,BE
Serbia,NL
Guadeloupe,KZ
Martinique,UZ
Burkina Faso,TZ
Tuvalu,BB
Turkey,MW
French Polynesia,PS
Cocos (Keeling) Islands,GA
Guam,TT
Faroe Islands,BW
Syrian Arab Republic,LY
Hungary,TJ
Philippines,SR
Norway,PY
Bosnia and Herzegovina,TV
Ukraine,BE
Samoa,MZ
Libyan Arab Jamahiriya,BS
Aruba,VA
Myanmar,CL
Tokelau,AR
India,MC
United States Virgin Islands,TM
Pitcairn Islands,NE
Indonesia,RW
Korea,MR
Seychelles,SZ
Saint Barthelemy,DE
Kuwait,BR
Sudan,CV
Uruguay,SN
Sierra Leone,EG
Tokelau,AL
Venezuela,AD
Barbados,SY
Oman,TW
Burkina Faso,CN
United Kingdom,BA
Malaysia,BO
Paraguay,JO
Anguilla,GT
