name,object_id,epoch,mean_motion,eccentricity,inclination,ra_of_asc_node,arg_of_pericenter,mean_anomaly,ephemeris_type,classification_type,norad_cat_id,element_set_no,rev_at_epoch,bstar,mean_motion_dot,mean_motion_ddot,launch_country
OPS 5712 (P/L 153),1967-053H,2024-05-04 13:03:48.084192+00:00,13.96577888,0.0005435,69.9742,333.2659,136.3385,223.8151,0,U,2874,999,89923,0.00010217,8.8e-07,0.0,Saint Martin
STELLA,1993-061B,2024-05-04 12:05:06.307008+00:00,14.27422629,0.0005837,98.8825,171.0987,334.3082,164.948,0,U,22824,999,59455,1.0818e-05,-1.9e-07,0.0,Norfolk Island
ORBCOMM FM35,1999-065F,2024-05-04 13:25:58.003104+00:00,14.35113798,0.0003739,45.0393,226.1922,179.414,180.6712,0,U,25985,999,27623,0.00044972,1.154e-05,0.0,Latvia
TERRA,1999-068A,2024-05-04 20:18:21.292128+00:00,14.59711894,0.0003178,98.0504,190.6035,122.0852,349.5031,0,U,25994,999,29684,0.00016723,7.53e-06,0.0,Bermuda
USA 148,2000-001A,2024-05-04 13:36:41.386752+00:00,1.0027249,0.00012,10.6418,38.0304,319.2521,249.9493,0,U,26052,999,2386,0.0,3.5e-07,0.0,Syrian Arab Republic
MOZHAYETS 4 (RS-22),2003-042A,2024-05-04 20:44:26.407392+00:00,14.69740669,0.0011955,98.2861,281.3975,191.7853,305.5107,0,U,27939,999,10191,0.00030982,1.797e-05,0.0,China
YAMAL 202,2003-053A,2024-05-04 13:14:58.281216+00:00,1.00271046,0.0003665,4.3796,80.2237,333.6611,171.2938,0,U,28089,999,7492,0.0,-7.9e-07,0.0,Syrian Arab Republic
NAVSTAR 54 (USA 177),2004-009A,2024-05-03 12:55:17.582880+00:00,2.00560274,0.0096528,55.4932,306.8194,145.8638,173.8666,0,U,28190,999,14740,0.0,-3.2e-07,0.0,China
COSMOS 2407,2004-028A,2024-05-04 04:34:14.970720+00:00,13.76205027,0.0037903,82.9574,287.9793,256.6541,277.2816,0,U,28380,999,99360,6.9397e-05,8.3e-07,0.0,Egypt
REIMEI (INDEX),2005-031B,2024-05-04 12:12:04.583232+00:00,14.97302007,0.0024266,97.9835,211.9044,202.3772,157.6392,0,U,28810,999,1467,0.00044434,5.122e-05,0.0,Bosnia and Herzegovina
ARIRANG-2 (KOMPSAT-2),2006-031A,2024-05-04 20:29:57.861024+00:00,14.63518017,0.0014983,97.8688,336.1349,10.6647,116.0051,0,U,29268,999,94840,0.00010117,4.8e-06,0.0,Mayotte
SKYNET 5A,2007-007B,2024-05-04 00:23:42.506016+00:00,1.00270606,0.0003824,3.3191,82.9845,329.0739,271.4866,0,U,30794,999,6289,0.0,-2.71e-06,0.0,Norfolk Island
HAIYANG-1B,2007-010A,2024-05-04 05:50:33.278208+00:00,14.30587664,0.0013164,98.2959,129.2808,342.1847,17.8873,0,U,31113,999,89069,8.0507e-05,1.69e-06,0.0,Norfolk Island
ASTRA 1L,2007-016A,2024-05-04 02:06:42.468192+00:00,1.00268756,0.0004032,0.0488,336.6043,14.8514,281.8821,0,U,31306,999,6227,0.0,1.17e-06,0.0,Nepal
TERRASAR-X,2007-026A,2024-05-04 15:14:00.806784+00:00,15.19151681,0.0001824,97.4439,133.4039,81.1842,278.9599,0,U,31698,999,93644,0.00011224,2.291e-05,0.0,Mayotte
COSMO-SKYMED 2,2007-059A,2024-05-04 19:52:12.194688+00:00,14.82154704,0.0001459,97.8867,309.6081,88.6339,271.5042,0,U,32376,999,88752,0.00011206,8.4e-06,0.0,Egypt
CARTOSAT-2A,2008-021A,2024-05-04 19:12:15.340320+00:00,14.78683322,0.0013355,97.869,185.197,102.057,258.2139,0,U,32783,999,86459,0.0001894,1.34e-05,0.0,Norfolk Island
SEEDS II (CO-66),2008-021J,2024-05-04 20:55:04.213056+00:00,15.0276757,0.0007101,97.6866,97.3226,92.3126,267.8912,0,U,32791,999,87009,0.00069971,9.307e-05,0.0,Egypt
CHINASAT 9 (ZX 9),2008-028A,2024-05-04 21:48:27.108576+00:00,1.00270813,0.0004615,0.0107,223.369,197.2682,221.956,0,U,33051,999,5825,0.0,-2.49e-06,0.0,Norfolk Island
SKYNET 5C,2008-030A,2024-05-04 08:16:42.455712+00:00,1.00271101,0.0003669,1.7946,85.7508,313.9931,289.3753,0,U,33055,999,5814,0.0,-1.4e-06,0.0,Norfolk Island
BADR-6,2008-034B,2024-05-04 17:31:42.645216+00:00,1.00269017,0.0010053,0.8477,87.0108,338.5713,86.6617,0,U,33154,999,5799,0.0,1.44e-06,0.0,Bahamas
ECHOSTAR 11,2008-035A,2024-05-04 11:23:14.061120+00:00,1.00270096,0.0002553,0.0136,281.2653,123.6691,238.7122,0,U,33207,999,5789,0.0,-5.9e-07,0.0,Guinea-Bissau
COSMO-SKYMED 3,2008-054A,2024-05-04 18:54:40.763520+00:00,14.9706612,0.0016412,97.8796,322.1797,3.153,356.9792,0,U,33412,999,84079,0.00032084,3.647e-05,0.0,Norfolk Island
NAVSTAR 63 (USA 203),2009-014A,2024-05-02 18:15:57.368160+00:00,2.00555489,0.0132348,54.6984,241.7786,58.5831,302.1576,0,U,34661,999,11072,0.0,-2.2e-07,0.0,French Southern Territories
WGS F2 (USA 204),2009-017A,2024-05-04 17:02:42.679680+00:00,1.00269954,2.89e-05,0.0158,261.3937,255.3415,19.5213,0,U,34713,999,5518,0.0,6.6e-07,0.0,Norfolk Island
DUBAISAT-1,2009-041B,2024-05-04 19:49:56.473248+00:00,14.71387055,0.0011797,97.9003,263.3333,38.3113,321.893,0,U,35682,999,79126,0.00028145,1.695e-05,0.0,French Polynesia
NIMIQ 5,2009-050A,2024-05-04 09:55:42.848832+00:00,1.00270918,0.0002683,0.0106,91.3645,316.4407,251.1965,0,U,35873,999,5359,0.0,-2.59e-06,0.0,Thailand
